Entity,Code,Year,Freedom of Expression and Alternative Sources of Information index (best estimate),time
Afghanistan,AFG,2023,0.064,2023
Albania,ALB,2023,0.701,2023
Algeria,DZA,2023,0.399,2023
Angola,AGO,2023,0.538,2023
Argentina,ARG,2023,0.933,2023
Armenia,ARM,2023,0.753,2023
Australia,AUS,2023,0.937,2023
Austria,AUT,2023,0.928,2023
Azerbaijan,AZE,2023,0.175,2023
Bahrain,BHR,2023,0.138,2023
Bangladesh,BGD,2023,0.347,2023
Barbados,BRB,2023,0.914,2023
Belarus,BLR,2023,0.028,2023
Belgium,BEL,2023,0.971,2023
Benin,BEN,2023,0.688,2023
Bhutan,BTN,2023,0.7,2023
Bolivia,BOL,2023,0.743,2023
Bosnia and Herzegovina,BIH,2023,0.657,2023
Botswana,BWA,2023,0.813,2023
Brazil,BRA,2023,0.894,2023
Bulgaria,BGR,2023,0.791,2023
Burkina Faso,BFA,2023,0.573,2023
Burundi,BDI,2023,0.225,2023
Cambodia,KHM,2023,0.194,2023
Cameroon,CMR,2023,0.6,2023
Canada,CAN,2023,0.956,2023
Cape Verde,CPV,2023,0.842,2023
Central African Republic,CAF,2023,0.641,2023
Chad,TCD,2023,0.47,2023
Chile,CHL,2023,0.915,2023
China,CHN,2023,0.048,2023
Colombia,COL,2023,0.867,2023
Comoros,COM,2023,0.566,2023
Congo,COG,2023,0.338,2023
Costa Rica,CRI,2023,0.93,2023
Cote d'Ivoire,CIV,2023,0.672,2023
Croatia,HRV,2023,0.797,2023
Cuba,CUB,2023,0.074,2023
Cyprus,CYP,2023,0.821,2023
Czechia,CZE,2023,0.958,2023
Democratic Republic of Congo,COD,2023,0.611,2023
Denmark,DNK,2023,0.985,2023
Djibouti,DJI,2023,0.341,2023
Dominican Republic,DOM,2023,0.932,2023
East Timor,TLS,2023,0.801,2023
Ecuador,ECU,2023,0.765,2023
Egypt,EGY,2023,0.173,2023
El Salvador,SLV,2023,0.445,2023
Equatorial Guinea,GNQ,2023,0.166,2023
Eritrea,ERI,2023,0.025,2023
Estonia,EST,2023,0.97,2023
Eswatini,SWZ,2023,0.111,2023
Ethiopia,ETH,2023,0.325,2023
Fiji,FJI,2023,0.728,2023
Finland,FIN,2023,0.962,2023
France,FRA,2023,0.961,2023
Gabon,GAB,2023,0.774,2023
Gambia,GMB,2023,0.798,2023
Georgia,GEO,2023,0.849,2023
Germany,DEU,2023,0.946,2023
Ghana,GHA,2023,0.862,2023
Greece,GRC,2023,0.806,2023
Guatemala,GTM,2023,0.673,2023
Guinea,GIN,2023,0.559,2023
Guinea-Bissau,GNB,2023,0.615,2023
Guyana,GUY,2023,0.78,2023
Haiti,HTI,2023,0.649,2023
Honduras,HND,2023,0.898,2023
Hungary,HUN,2023,0.496,2023
Iceland,ISL,2023,0.903,2023
India,IND,2023,0.42,2023
Indonesia,IDN,2023,0.712,2023
Iran,IRN,2023,0.156,2023
Iraq,IRQ,2023,0.551,2023
Ireland,IRL,2023,0.975,2023
Israel,ISR,2023,0.845,2023
